Time,Category,Item,Quantity,Cost,email_id,name,status,checkin,checkout
29-07-2024 19:44,others,Gym,1,5,abc@gmail.com,shravan,booked,,
29-07-2024 19:57,rooms,family,1,60,abc@gmail.com,shravan,booked,,
29-07-2024 19:57,facilities,Gym,1,5,abc@gmail.com,shravan,booked,,
29-07-2024 19:57,facilities,Laundry,2,7,abc@gmail.com,shravan,booked,,
10-08-2024 19:01,beverages,Coffee,1,3,abc@gmail.com,shravan,booked,,
10-08-2024 19:01,others,beddings,1,2,abc@gmail.com,shravan,booked,,
10-08-2024 19:25,rooms,family,1,60,abc@gmail.com,shravan,Checkedin,,
11-08-2024 18:52,1,family,1,60,abc@gmail.com,shravan,,,
11-08-2024 18:59,2,suite,1,50,abc@gmail.com,shravan,,,
11-08-2024 19:02,1,family,1,60,abc@gmail.com,shravan,,,
11-08-2024 20:16,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:16,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:16,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:16,rooms,family,2,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:16,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:16,rooms,family,3,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:16,beverages,Coffee,2,3,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,rooms,family,2,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,rooms,family,3,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:19,beverages,Coffee,2,3,abc@gmail.com,shravan,booked,,
11-08-2024 20:25,rooms,family,2,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:27,rooms,family,2,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:29,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:31,rooms,family,1,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:31,rooms,family,2,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:31,beverages,Coffee,2,3,abc@gmail.com,shravan,booked,,
11-08-2024 20:34,rooms,family,2,60,abc@gmail.com,shravan,booked,,
11-08-2024 20:35,rooms,deluxe,1,55,abc@gmail.com,shravan,booked,,
11-08-2024 20:39,rooms,suite,1,50,abc@gmail.com,shravan,booked,,
11-08-2024 20:39,rooms,Non-AC,1,45,abc@gmail.com,shravan,booked,,
06-09-2024 07:10,rooms,family,2,60,abc@gmail.com,shravan,booked,,
